# ffmpeg 2-pass log file, using xvid codec
# Do not modify. libxvidcore version: 1.2.1

b 3 0 1056 0 490 451
b 3 0 1056 0 456 426
p 2 0 761 295 2690 1136
b 3 0 1056 0 495 479
b 3 0 1056 0 562 532
p 2 0 850 206 3179 1197
b 3 0 1056 0 419 417
b 3 0 1056 0 470 461
p 2 0 846 210 2872 1168
b 3 0 1056 0 486 472
b 3 0 1056 0 511 507
p 2 0 720 336 2406 1105
b 3 0 1056 0 415 390
b 3 0 1056 0 440 414
p 2 0 766 290 2817 1132
b 3 0 1056 0 531 511
b 3 0 1056 0 575 540
p 2 0 860 196 3072 1197
b 3 0 1056 0 521 460
b 3 0 1056 0 573 491
p 2 0 912 144 3188 1186
b 3 0 1056 0 730 618
b 3 0 1056 0 697 559
p 2 0 708 348 3080 1118
b 3 0 1056 0 620 501
b 3 0 1056 0 700 541
p 2 0 824 232 3597 1174
b 3 0 1056 0 1004 713
b 3 0 1056 0 1102 728
p 2 0 810 246 4827 1267
b 3 0 1056 0 1160 647
b 3 0 1056 0 1412 717
p 2 23 818 215 5485 1320
b 3 0 1056 0 1781 787
b 3 0 1056 0 1905 793
p 2 34 817 205 6502 1396
b 3 0 1056 0 1359 672
b 3 0 1056 0 1185 648
p 2 20 886 150 6510 1415
b 3 0 1056 0 1139 787
b 3 0 1056 0 1200 782
p 2 7 876 173 5514 1368
b 3 0 1056 0 1038 676
b 3 0 1056 0 1045 599
p 2 2 893 161 5458 1343
b 3 0 1056 0 1197 697
b 3 0 1056 0 1246 698
p 2 3 850 203 5573 1284
b 3 0 1056 0 1062 575
b 3 0 1056 0 1023 546
p 2 0 808 248 5164 1226
b 3 0 1056 0 981 689
b 3 0 1056 0 1077 718
p 2 0 899 157 5326 1309
b 3 0 1056 0 892 645
b 3 0 1056 0 870 619
p 2 0 889 167 4935 1277
b 3 0 1056 0 857 682
b 3 0 1056 0 917 702
p 2 0 802 254 4590 1224
b 3 0 1056 0 747 592
b 3 0 1056 0 770 609
p 2 0 889 167 4134 1235
b 3 0 1056 0 1036 726
b 3 0 1056 0 1126 755
p 2 0 877 179 5456 1320
b 3 0 1056 0 1058 659
b 3 0 1056 0 987 631
p 2 0 776 280 4747 1232
b 3 0 1056 0 906 685
b 3 0 1056 0 919 711
p 2 1 826 229 4843 1240
b 3 0 1056 0 772 594
b 3 0 1056 0 831 555
p 2 0 773 283 4067 1204
b 3 0 1056 0 883 597
b 3 0 1056 0 976 683
p 2 0 870 186 4472 1240
b 3 0 1056 0 962 594
b 3 0 1056 0 1119 690
p 2 0 896 160 5288 1291
b 3 0 1056 0 1429 719
b 3 0 1056 0 1494 744
p 2 0 907 149 5851 1325
b 3 0 1056 0 1435 735
b 3 0 1056 0 1322 731
p 2 2 920 134 5986 1397
b 3 0 1056 0 1349 776
b 3 0 1056 0 1325 759
p 2 3 981 72 7375 1460
b 3 0 1056 0 1246 757
b 3 0 1056 0 1226 740
p 2 4 983 69 6140 1406
b 3 0 1056 0 981 723
b 3 0 1056 0 944 750
