PlayedBefore,TimePlaying,PlayGames,Age,Sex,JumpRun1,LeftRun1,RightRun1,JumpEndRun1,LeftEndRun1,RightEndRun1,TimeRun1,JumpRun2,LeftRun2,RightRun2,JumpEndRun2,LeftEndRun2,RightEndRun2,TimeRun2,JumpRun3,LeftRun3,RightRun3,JumpEndRun3,LeftEndRun3,RightEndRun3,TimeRun3,EngFruChal
1,0,1,45,1,0,0,0,0,0,0,2359,0,0,4,0,0,4,5344,1,0,0,1,0,0,7110,122
1,0,1,45,1,23,0,25,22,0,24,29641,9,0,9,9,0,9,17250,1,0,1,1,0,1,7375,121
1,0,1,45,1,13,0,5,12,0,6,13766,5,0,1,5,0,1,9781,11,0,4,12,0,4,13625,212
1,0,1,45,1,4,0,2,4,0,2,6469,3,0,1,3,0,0,8500,3,0,7,3,0,7,9094,221
1,0,1,45,1,2,0,2,2,0,1,6969,2,0,3,1,0,4,10344,6,0,1,5,0,2,11422,303
1,0,1,45,1,8,0,5,8,0,4,14906,7,0,5,7,0,5,21703,9,0,14,9,0,16,22047,203
0,0,0,30,1,32,12,41,26,12,37,45531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122
0,0,0,30,1,4,1,10,2,1,8,8093,2,1,2,2,1,2,8422,2,1,1,2,1,1,8406,121
0,0,0,30,1,5,1,11,4,1,11,10734,7,1,19,8,1,20,14079,10,2,17,8,2,15,18249,212
0,0,0,30,1,17,6,17,16,4,18,25484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221
0,0,0,30,1,0,0,0,0,0,0,1657,7,3,4,6,3,4,12578,2,0,1,1,0,1,5593,303
0,0,0,30,1,6,2,6,5,2,6,9203,6,2,2,6,2,2,12031,5,1,3,4,1,3,10250,203
0,0,1,25,1,9,3,5,9,3,5,19596,0,0,0,0,0,0,5500,12,2,8,9,2,8,19251,122
0,0,1,25,1,19,1,20,18,1,20,28643,14,5,10,12,5,11,25736,11,2,7,11,2,6,18360,121
0,0,1,25,1,9,0,10,9,0,9,17516,4,0,5,5,0,5,11235,4,0,6,5,0,6,11891,212
0,0,1,25,1,13,2,13,13,2,13,20484,10,2,9,8,2,8,18501,10,0,9,10,0,7,16547,221
0,0,1,25,1,3,0,4,3,0,4,9594,1,0,2,1,0,2,8718,1,0,1,1,0,0,6657,303
0,0,1,25,1,12,5,15,12,5,15,23578,10,3,9,9,3,8,17250,11,2,10,9,2,8,18000,203
0,0,1,25,1,0,0,0,0,0,0,2719,3,0,2,4,0,3,8406,11,1,8,14,1,8,19266,412
0,0,1,25,1,3,0,6,3,0,6,5516,5,1,3,6,1,2,11125,5,1,3,5,1,3,8578,221
0,0,0,23,1,13,0,11,11,0,10,15937,5,0,9,5,0,9,12125,6,0,1,6,0,2,8922,122
